location,price,features,listing_url,name,lat,long,source,rating
"Adelaide, Adelaide",623.3176838810642,"['2 guests', '1 bedroom', '1 bath', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/46434645?previous_page_section_name=1000&federated_search_id=be538910-7508-44cb-a5d8-f86897dc0c0d,Stunning CBD 1 BR Apartment With a View - V413,-34.9284989,138.6007456,aribnb,5.0 (5 reviews)
"Adelaide, Adelaide",496.24413145539904,"['2 guests', '1 bedroom', '2 beds', '1 bath', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/45942522?previous_page_section_name=1000&federated_search_id=be538910-7508-44cb-a5d8-f86897dc0c0d,Brand New luxury South Terrace No.24,-34.9284989,138.6007456,aribnb,4.83 (24 reviews)
"Adelaide, Adelaide",552.112676056338,"['6 guests', '2 bedrooms', '3 beds', '2 baths', 'Free parking', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/24184976?previous_page_section_name=1000&federated_search_id=be538910-7508-44cb-a5d8-f86897dc0c0d,"York on Grenfell- Free parking, Netflix plus pool",-34.9284989,138.6007456,aribnb,4.87 (111 reviews)
"Adelaide, Adelaide",528.0125195618155,"['2 guests', '1 bedroom', '1 bed', '1 bath', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/41774885?previous_page_section_name=1000&federated_search_id=be538910-7508-44cb-a5d8-f86897dc0c0d,A stay you wont forget in Adelaide.,-34.9284989,138.6007456,aribnb,4.89 (55 reviews)
"Adelaide, Adelaide",531.2989045383412,"['6 guests', '2 bedrooms', '3 beds', '1 bath', 'Free parking', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/17352007?previous_page_section_name=1000&federated_search_id=be538910-7508-44cb-a5d8-f86897dc0c0d,"York Deluxe, sleeps 6, free park, city centre!",-34.9284989,138.6007456,aribnb,4.86 (276 reviews)
"Adelaide, Adelaide",748.2003129890454,"['4 guests', '2 bedrooms', '3 beds', '1 bath', 'Free parking', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/25844827?previous_page_section_name=1000&federated_search_id=be538910-7508-44cb-a5d8-f86897dc0c0d,CBD location. Very Comfortable. Long stays welcome,-34.9284989,138.6007456,aribnb,4.86 (43 reviews)
"Adelaide, Adelaide",748.2003129890454,"['6 guests', '2 bedrooms', '4 beds', '1 bath', 'Free parking', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/40338036?previous_page_section_name=1000&federated_search_id=be538910-7508-44cb-a5d8-f86897dc0c0d,Deluxe Penthouse Great City View Free Parking #1,-34.9284989,138.6007456,aribnb,5.0 (8 reviews)
"Ridleyton, Adelaide",490.7668231611894,"['4 guests', '2 bedrooms', '2 beds', '1.5 baths', 'Free parking', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/43202800?previous_page_section_name=1000&federated_search_id=be538910-7508-44cb-a5d8-f86897dc0c0d,A Mates’s Place,-34.8941598,138.5718403,aribnb,4.96 (50 reviews)
"Hackney, Adelaide",620.0312989045384,"['6 guests', '1 bedroom', '5 beds', '1 bath', 'Free parking', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/53243252?previous_page_section_name=1000&federated_search_id=be538910-7508-44cb-a5d8-f86897dc0c0d,1-bedroom Holiday Cabin 1km from Adelaide CBD,-34.91804279999999,138.6153637,aribnb,rating
"North Adelaide, Adelaide",404.2253521126761,"['2 guests', 'Studio', '1 bed', '1 bath', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/40626572?previous_page_section_name=1000&federated_search_id=be538910-7508-44cb-a5d8-f86897dc0c0d,Studio on Sussex,-34.9083198,138.5919105,aribnb,4.92 (12 reviews)
